id,attr_time,attr_lat,attr_lng
1,1435996970000,49.44978554,8.89805619
2,1435996985000,49.44977753,8.8982229
3,1435997019000,49.44984632,8.89861243
4,1435997023000,49.44986361,8.89855301
5,1435997088000,49.44985079,8.89850287
6,1435997094000,49.44984964,8.89850615
7,1435997106000,49.44983081,8.89845906
8,1435997113000,49.44982386,8.8984453
9,1435997125000,49.44973657,8.89840352
10,1435997134000,49.44955391,8.89837143
11,1435997146000,49.4493471,8.89831267
12,1435997154000,49.44926194,8.89824058
13,1435997166000,49.44917233,8.89825708
14,1435997195000,49.44900375,8.89870099
15,1435997239000,49.44883353,8.89838629
16,1435997251000,49.44881396,8.89843704
17,1435997260000,49.44882457,8.8985061
18,1435997271000,49.44883865,8.8987731
19,1435997282000,49.44877313,8.89900263
20,1435997291000,49.44877541,8.89910226
21,1435997303000,49.44883532,8.89925168
22,1435997313000,49.44887578,8.89934845
23,1435997329000,49.44901213,8.89927867
24,1435997334000,49.44896982,8.89920705
25,1435997347000,49.44900072,8.89951257
26,1435997354000,49.44899684,8.89948967
27,1435997365000,49.44898406,8.89941758
28,1435997378000,49.44892548,8.89962042
29,1435997384000,49.44891234,8.8996831
30,1435997410000,49.44888148,8.89996226
31,1435997427000,49.44880253,8.90002693
32,1435997433000,49.44878543,8.90003706
