id,attr_time,attr_lat,attr_lng
1,1435990481000,49.44904483,8.90024916
2,1435990501000,49.4490287,8.89992758
3,1435990522000,49.44907852,8.89959264
4,1435990553000,49.44898551,8.89967455
5,1435990557000,49.44896276,8.89962383
6,1435990572000,49.44910064,8.89960701
7,1435990579000,49.44888991,8.89958664
8,1435990589000,49.44888648,8.89950452
9,1435990599000,49.44900146,8.89960097
10,1435990609000,49.44899155,8.89945996
11,1435990619000,49.44896376,8.89938574
12,1435990629000,49.44896839,8.8994071
13,1435990653000,49.44903385,8.89918882
14,1435990659000,49.44903099,8.89920244
15,1435990669000,49.44897134,8.89924113
16,1435990679000,49.44897207,8.89922963
17,1435990691000,49.44894055,8.89896484
18,1435990701000,49.44898424,8.89860666
19,1435990710000,49.44899248,8.89860579
20,1435990720000,49.44890119,8.89859273
21,1435990730000,49.44882685,8.89858498
22,1435990741000,49.44877006,8.8985114
23,1435990756000,49.44884628,8.89854827
24,1435990776000,49.44895457,8.89861836
25,1435990806000,49.4488782,8.89870739
26,1435990811000,49.44903015,8.89862391
27,1435990835000,49.44919624,8.89849776
28,1435990840000,49.44932311,8.89846968
29,1435990852000,49.44896031,8.89881729
30,1435990861000,49.44901573,8.89869331
31,1435990874000,49.44941344,8.89830548
32,1435990881000,49.44948599,8.89844863
33,1435990892000,49.44947203,8.89840769
34,1435990901000,49.4494701,8.89844219
35,1435990912000,49.44946979,8.89845448
36,1435990922000,49.44947913,8.89844651
37,1435990934000,49.44951546,8.89843953
38,1435990944000,49.44952876,8.89842611
39,1435990952000,49.44954262,8.89841928
40,1435991033000,49.44987318,8.89851855
41,1435991037000,49.44989357,8.89852995
42,1435991050000,49.44987527,8.89851181
43,1435991093000,49.44987532,8.89848693
44,1435991097000,49.44987648,8.89848593
