id,attr_time,attr_lat,attr_lng
1,1435995491000,49.45013356,8.89785378
2,1435995505000,49.45015039,8.89786153
3,1435995515000,49.4501613,8.89786532
4,1435995525000,49.45016788,8.89786729
5,1435995537000,49.45017341,8.89786874
6,1435995550000,49.45017912,8.89787091
7,1435995561000,49.45030286,8.8969587
8,1435995575000,49.45082957,8.89698445
9,1435995580000,49.45096935,8.89709417
10,1435995593000,49.45143789,8.89753092
11,1435995601000,49.45157234,8.89761573
12,1435995616000,49.45187304,8.89755677
13,1435995624000,49.45201053,8.89748666
14,1435995635000,49.45242927,8.89802276
15,1435995647000,49.45261761,8.8980599
16,1435995666000,49.45288121,8.89802827
17,1435995680000,49.45312008,8.89804096
18,1435995688000,49.45333833,8.89811995
19,1435995700000,49.45333019,8.89775392
20,1435995712000,49.45349282,8.89775447
21,1435995725000,49.45381851,8.89804541
22,1435995736000,49.45375119,8.89743904
23,1435995746000,49.45365926,8.89759528
24,1435995767000,49.45353208,8.89744548
25,1435995781000,49.45319045,8.89772538
26,1435995793000,49.45275883,8.89778948
27,1435995806000,49.4525957,8.8977816
28,1435995813000,49.45253011,8.89759839
29,1435995825000,49.45238451,8.89757066
30,1435995836000,49.45218081,8.89763158
31,1435995855000,49.45207792,8.89766201
32,1435995877000,49.45196341,8.89772462
33,1435995893000,49.45193833,8.89769525
34,1435995905000,49.45151749,8.89771041
35,1435995910000,49.45135819,8.89778963
36,1435995931000,49.45030273,8.89761571
37,1435995944000,49.45021542,8.89797188
38,1435995955000,49.45037211,8.8980908
39,1435995967000,49.45060401,8.89811969
40,1435995979000,49.450652,8.89792619
41,1435995993000,49.4507646,8.89778236
42,1435996003000,49.45097561,8.89786984
43,1435996011000,49.45105551,8.89784538
44,1435996023000,49.45111121,8.89774574
45,1435996039000,49.45149563,8.89786704
46,1435996048000,49.45129506,8.89769131
47,1435996066000,49.45128378,8.89769325
48,1435996084000,49.45082004,8.89776393
49,1435996087000,49.45076287,8.89778092
